                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0821,                 3.3471,                  1.331,                0.24033,                0.28696,                0.18462,                0.13838,                0.98052,                 3.1782,                 1.2074,             0.00019992,             0.00019992,             0.00019992
                      2,                0.99179,                 2.1536,                 1.2487,                 0.2618,                  0.281,                 0.2037,                0.14525,                 1.1301,                 3.0535,                 1.3298,             0.00040295,             0.00040295,             0.00040295
                      3,                 1.0412,                 2.0053,                 1.2676,                0.44681,                0.17677,                0.14559,                0.09738,                 1.2815,                 4.5586,                 1.4569,             0.00060188,             0.00060188,             0.00060188
                      4,                 1.1083,                  2.011,                  1.314,                0.29327,                0.22029,                0.16527,                0.10154,                 1.3156,                 3.9517,                 1.4744,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1174,                 1.9379,                 1.3159,                0.26351,                0.23845,                0.17689,                0.11026,                 1.3018,                 3.0917,                 1.5044,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.0897,                 1.8618,                  1.302,                 0.3618,                0.25518,                0.23072,                0.15784,                  1.218,                 2.2658,                 1.4105,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.0673,                 1.7914,                 1.2881,                0.28219,                0.27031,                0.20413,                0.13725,                 1.1929,                 2.4755,                 1.3991,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.0496,                 1.7494,                 1.2684,                0.40863,                 0.2633,                0.25802,                 0.1844,                 1.1347,                 2.1016,                 1.3487,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0291,                 1.7006,                  1.267,                0.36339,                0.31039,                0.28546,                0.20515,                 1.1043,                      2,                 1.3116,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0174,                 1.6459,                 1.2555,                 0.4625,                0.32516,                0.33318,                0.24493,                 1.1001,                 1.9269,                 1.3043,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0072,                  1.596,                  1.247,                0.43502,                 0.3367,                0.31725,                0.23332,                 1.0743,                 2.0424,                 1.2801,             0.00065038,             0.00065038,             0.00065038
                     12,                0.98455,                 1.5547,                 1.2344,                0.45722,                0.33933,                 0.3283,                0.23675,                 1.1014,                 2.0488,                 1.2951,             0.00064331,             0.00064331,             0.00064331
                     13,                0.96656,                 1.5182,                 1.2156,                0.50796,                 0.3441,                0.35151,                0.25446,                 1.0877,                  1.986,                  1.297,             0.00063625,             0.00063625,             0.00063625
                     14,                0.94919,                 1.4813,                 1.2079,                0.47529,                0.36474,                0.34515,                0.25846,                 1.0396,                 1.7674,                 1.2518,             0.00062918,             0.00062918,             0.00062918
                     15,                0.94118,                 1.4385,                 1.1993,                   0.57,                0.33231,                0.38248,                  0.292,                 1.0256,                 1.7494,                 1.2528,             0.00062211,             0.00062211,             0.00062211
                     16,                0.93256,                  1.411,                 1.1965,                0.51697,                 0.3686,                0.38051,                0.29024,                 1.0183,                 1.7776,                 1.2423,             0.00061504,             0.00061504,             0.00061504
